labels,polynomials,possibly nonmaximal primes,probably nonmaximal primes,torsion primes
469238.a.938476.1,"[[5, -16, 8, 7, -1], [1, 0, 0, 1]]",,{},{}
469277.a.469277.1,"[[-2, -13, -25, -15, 0, 1], [1]]",,{2},{}
469289.a.469289.1,"[[0, -1, -1, 5, 10, 3], [1, 0, 0, 1]]",,{2},{}
469301.a.469301.1,"[[0, -1, -3, 13, -7, 1], [1]]",,{2},{}
469312.a.469312.1,"[[0, 1, 0, -7, 6, 0, -1], [1, 1]]",,{2},{}
469313.a.469313.1,"[[-4, -1, 7, 0, -5, 0, 1], [0, 1, 1]]",,{2},{}
469336.a.938672.1,"[[0, 0, 4, 12, 9, 2], [1, 1]]",,{2},{}
469360.a.469360.1,"[[10, 8, -6, -3, -1, 1], [1, 0, 1]]",,{2},{}
469405.a.469405.1,"[[0, 1, 2, 0, 2, 3, 1], [1, 1]]",,{},{}
469418.a.938836.1,"[[-2, 2, 0, -2, 0, 1], [1, 1]]",,{2},{2}
469418.b.938836.1,"[[10, -29, 23, 0, -5], [0, 0, 1, 1]]",,{2},{2}
469451.a.469451.1,"[[-12, 16, 7, -8, -1, 1], [1]]",,{2},{}
469468.a.938936.1,"[[0, 6, 28, 46, 22, 4], [1, 0, 0, 1]]",,{},{}
469520.a.939040.1,"[[-16, 6, 16, -5, -4], [0, 0, 1, 1]]",,{2},{2}
469530.a.469530.1,"[[1, -3, 2, 1, -3, -1], [1, 0, 0, 1]]",,{2},{2}
469550.a.939100.1,"[[1, 12, 38, 30, -18, 2], [1, 1, 1]]",,{2},{}
469584.a.469584.1,"[[-1, -2, 0, 0, -2], [0, 0, 0, 1]]",,{},{}
469584.b.469584.1,"[[-2, 9, 0, -20, -21, -10, -2], [0, 1]]",,{},{}
469600.a.939200.1,"[[0, 1, -1, -3, 2, 2], [1]]",,{2},{}
469621.a.469621.1,"[[6, 4, -5, -4, 1, 1], [1]]",,{2},{}
469633.a.469633.1,"[[0, 0, -2, -2, -1, 1], [1, 1]]",,{2},{}
469642.a.469642.1,"[[-1, -1, -9, -6, -25, -9, -23], [0, 1]]",,{},{}
469648.a.469648.1,"[[25, 31, -1, -10, -1, 1], [1, 0, 1]]",,{2},{}
469664.a.939328.1,"[[1, 1, 0, 0, 1, 1], [1, 1, 1, 1]]",,{2},{}
469664.b.939328.1,"[[-2, 2, 3, -2, -1], [0, 0, 0, 1]]",,{},{}
469670.a.469670.1,"[[-1, 1, 4, -4, -4], [0, 1, 1, 1]]",,{2},{2}
469683.a.469683.1,"[[-1, -9, -28, -33, -9, 1], [0, 0, 1]]",,{2},{}
469689.a.469689.1,"[[-4, 4, 6, -5, -4], [1, 0, 1, 1]]",,{2},{}
469714.a.469714.1,"[[-31, 19, 19, -6, -4], [0, 0, 1, 1]]",,{},{}
469749.a.469749.1,"[[-1, -1, 0, 7, 10, 4], [0, 0, 0, 1]]",,{},{}
469778.a.939556.1,"[[4, -4, -3, 1], [0, 1, 1, 1]]",,{2},{}
469778.b.939556.1,"[[1, -3, 4, 4], [0, 1, 1, 1]]",,{2},{}
469794.a.469794.1,"[[14, -1, -18, 0, 7, 0, -1], [1, 0, 0, 1]]",,{2},{2}
469814.a.469814.1,"[[-1, 2, 1, -9, 1, 7, -3], [1, 1]]",,{},{}
469830.a.939660.1,"[[-4, 0, 7, 0, -4, -1, 1], [1, 0, 0, 1]]",,{2},{}
469844.a.469844.1,"[[1, 2, 2, 0, 0, -1], [1, 0, 0, 1]]",,{},{}
469847.a.469847.1,"[[14, 0, 3, 39, 21, 4], [1, 1, 0, 1]]",,{},{}
469877.a.469877.1,"[[-182, -138, 113, 7, -10], [1, 0, 0, 1]]",,{},{}
469887.a.469887.1,"[[3, 1, 0, 0, -1], [1, 1, 0, 1]]",,{},{}
469916.a.469916.1,"[[-1, 1, -1, 1, 1, 1], [1, 0, 0, 1]]",,{},{}
469929.a.469929.1,"[[5, 11, 3, -5, -1, 1], [0, 0, 0, 1]]",,{3},{3}
469958.a.469958.1,"[[-1, 1, 0, 0, 1, -1, -1], [0, 1]]",,{},{}
469963.a.469963.1,"[[0, -1, 3, -5, 1, 1], [1]]",,{2},{}
469989.a.469989.1,"[[-13, 14, 11, -9, -6], [1, 1, 0, 1]]",,{},{}
470000.a.470000.1,"[[2, 5, -1, -5, 1], [0, 1, 0, 1]]",,{},{}
470043.a.470043.1,"[[0, -1, 0, 0, -4, 0, 3], [1, 1, 1]]",,{},{}
470053.a.470053.1,"[[0, 0, 2, 2, 4, 3, 1], [1, 1]]",,{},{}
470080.a.470080.1,"[[2, 4, -2, -5, 1, 1], [0, 0, 0, 1]]",,"{2, 3}",{}
470080.b.470080.1,"[[2, 4, 2, -5, -1, 1], [0, 0, 0, 1]]",,"{2, 3}",{3}
470089.a.470089.1,"[[1, 6, 10, 5], [1, 0, 0, 1]]",,{2},{}
470107.a.470107.1,"[[0, -1, 2, 2, -6, 1], [0, 1]]",,{2},{2}
470123.a.470123.1,"[[1, 25, -5, -6, -10, -3, -1], [1, 1]]",,{2},{2}
470126.a.940252.1,"[[0, 0, 0, 4, 7, 2], [1, 1, 1]]",,{2},{}
470128.a.940256.1,"[[1, 4, 8, 6, 0, -4, -1], [1, 1]]",,{2},{2}
470131.a.470131.1,"[[-1, -2, 1, 4, 0, -3, 1], [1]]",,{},{}
470150.a.470150.1,"[[-2, -6, 1, 14, 6, 0, -2], [1, 1, 1]]",,{},{}
470168.a.940336.1,"[[0, -1, -26, 35, 18, 2], [0, 1]]",,{2},{2}
470182.a.470182.1,"[[2, 0, 2, 0, 0, 1], [0, 1, 0, 1]]",,{},{}
470183.a.470183.1,"[[-2, 1, 4, 5, -2, -1], [1, 1, 0, 1]]",,{},{}
470186.a.940372.1,"[[-1, -1, 6, 0, -9, 0, 4], [1, 0, 0, 1]]",,{2},{}
470313.a.470313.1,"[[-10, 3, -14, 2, -6, 0, -1], [1, 0, 1, 1]]",,{},{}
470326.a.940652.1,"[[0, -2, -4, -3, 0, 1], [0, 1]]",,{2},{2}
470333.a.470333.1,"[[-2, -3, 7, 9, -4, 1], [1, 1, 1]]",,{2},{}
470443.a.470443.1,"[[0, 0, 10, -5, -2, 1], [1]]",,{2},{}
470448.a.470448.1,"[[-3, 6, -1, -5, -1, 1], [0, 1, 0, 1]]",,{},{}
470475.a.470475.1,"[[-1, -3, -3, -1, 1, 1], [1]]",,{2},{}
470483.a.470483.1,"[[-1, 7, -19, 11, 2, -1, -1], [1, 0, 0, 1]]",,{2},{2}
470528.a.941056.1,"[[-2, -4, -6, -3, -1, 1], [0, 1, 0, 1]]",,{2},{}
470532.a.941064.1,"[[-1, -2, 1, 1, -3, 2, -1], [1, 1, 0, 1]]",,{2},{}
470621.a.470621.1,"[[-1, 0, 4, -2, -3, 1], [0, 1, 0, 1]]",,{2},{}
470629.a.470629.1,"[[1, -2, 3, -3, 1], [0, 1, 0, 1]]",,{},{}
470646.a.941292.1,"[[-1, 1, 1, -9, -2, 7, -2], [1, 1]]",,{2},{2}
470654.a.941308.1,"[[0, 1, -1, -8, 6, -1, 1], [1, 1, 1]]",,{},{}
470665.a.470665.1,"[[2, -7, 5, 1, -2, 1], [1, 0, 0, 1]]",,{2},{2}
470678.a.941356.1,"[[1, 7, 9, -5, -6, 1], [1, 0, 0, 1]]",,{},{}
470720.a.470720.1,"[[-83, 88, 7, -24, -1, 2], [0, 1, 0, 1]]",,{},{}
470722.a.470722.1,"[[3, 5, 3, 2], [0, 1, 0, 1]]",,{2},{}
470749.a.470749.1,"[[0, 2, 2, 2, 1], [1, 0, 0, 1]]",,{},{}
470767.a.470767.1,"[[1, 0, -5, 2, 2, 1], [0, 1]]",,{2},{}
470779.a.470779.1,"[[-2, 1, -1, -7, -4], [0, 0, 0, 1]]",,{2},{}
470823.a.470823.1,"[[-1, 1, 1, -5, 0, 1], [1, 1, 1, 1]]",,{},{}
470826.a.941652.1,"[[0, 2, 13, 27, 16, 1], [0, 1]]",,{2},{2}
470851.a.470851.1,"[[0, 1, 1, -3, 1, 1], [0, 1]]",,{2},{2}
470853.a.470853.1,"[[-1, 3, -2, -3], [1, 0, 1, 1]]",,{},{}
470873.a.470873.1,"[[-1, -1, -1, -3, -2], [0, 0, 0, 1]]",,{},{}
470892.a.941784.1,"[[0, 1, -1, 1, 0, 1], [1, 1, 0, 1]]",,{},{}
470911.a.470911.1,"[[-2, 0, 4, 0, -1], [1, 0, 1, 1]]",,{},{}
470962.a.470962.1,"[[-2, -5, -3, -1, -1, 1], [1, 1]]",,{2},{}
470971.a.470971.1,"[[32, 41, 0, -13, -3, 1], [0, 1, 0, 1]]",,{},{}
470977.a.470977.1,"[[3, 5, -2, -5], [1, 0, 1, 1]]",,{2},{}
470992.a.470992.1,"[[-5, 24, -50, 52, -25, 2], [0, 0, 0, 1]]",,{},{}
470992.b.470992.1,"[[2, -7, 2, 9, -1, -4, -1], [0, 1]]",,{},{}
471008.a.942016.1,"[[5, 24, 29, 11], [0, 0, 0, 1]]",,{},{}
471009.a.471009.1,"[[5, -3, -3, -2, 1], [1, 0, 1, 1]]",,{2},{}
471022.a.471022.1,"[[0, 0, -2, -4, 0, -1], [1, 1]]",,{2},{}
471069.a.471069.1,"[[-1, -2, 1, 3, -2, 1], [1]]",,{2},{}
471079.a.471079.1,"[[-2, -1, 5, 2, -4, 1], [0, 1]]",,{2},{}
471157.a.471157.1,"[[1, -1, 0, 0, -1, 1], [1]]",,{2},{}
471161.a.471161.1,"[[3, -4, 2, 0, -2], [1, 1, 0, 1]]",,{},{}
471165.a.471165.1,"[[-1, -2, -2, -1, 1], [1, 1, 1, 1]]",,{},{}
471170.a.942340.1,"[[-2, 3, 2, -7, -1, 2], [1, 1, 1]]",,{2},{2}
471173.a.471173.1,"[[0, -1, -3, 2, 5, -5, 1], [0, 1]]",,{2},{}
471182.a.471182.1,"[[-1, -1, -2, -2, -2, -1, -1], [0, 1]]",,{},{}
471200.a.942400.1,"[[0, 2, 4, 0, 1, 2], [1]]",,{2},{}
471232.a.942464.1,"[[-5, -2, -10, -3, -6, -1, -1], [1, 0, 1]]",,{2},{2}
471259.a.471259.1,"[[-1, -1, 1, 0, 0, 1], [1]]",,{2},{}
471281.a.471281.1,"[[0, 0, 1, -4, 5, -3, 1], [1, 1]]",,{},{}
471323.a.471323.1,"[[42, -64, 13, 18, -8], [1, 0, 0, 1]]",,{},{}
471355.a.471355.1,"[[0, -1, 2, 1, 0, 1], [0, 1]]",,{2},{2}
471371.a.471371.1,"[[3, -13, 18, -4, -4, 1], [0, 0, 0, 1]]",,{},{}
471404.a.471404.1,"[[1, -4, 6, -5, 0, 1], [1, 0, 0, 1]]",,{2},{}
471411.a.471411.1,"[[0, 0, -7, 7, 6, 1], [1, 1]]",,{2},{}
471413.a.471413.1,"[[-6, 2, -5, 3, -1, 1], [1]]",,{2},{}
471430.a.471430.1,"[[0, 0, 0, 2, 3, 3, 1], [1, 1]]",,{},{}
471453.a.471453.1,"[[0, -1, -3, 1, 6, -5, 1], [0, 1]]",,{2},{}
471461.a.471461.1,"[[0, 1, 0, 0, 1, -1], [1, 1]]",,{2},{}
471493.a.471493.1,"[[0, 0, 1, 2, 4, 1], [1]]",,{2},{}
471496.a.942992.1,"[[-3, 2, 8, -6, -3, 2], [0, 0, 0, 1]]",,{},{}
471501.a.471501.1,"[[-1, 3, -2, -6, -1, 1], [1, 1, 0, 1]]",,{},{}
471516.a.471516.1,"[[1, 4, 3, 1], [0, 1, 1, 1]]",,{},{}
471517.a.471517.1,"[[0, -1, -3, -2, 1], [0, 1, 0, 1]]",,{2},{}
471528.a.943056.1,"[[-1, 3, -2, -1, -5, -2, -1], [1, 0, 1]]",,"{2, 3}",{}
471537.a.471537.1,"[[2, -5, 3, 0, -2, 1], [0, 1, 1]]",,{2},{2}
471552.a.943104.1,"[[4, -6, 9, -4, 2, 1], []]",,{2},{2}
471552.b.943104.1,"[[-4, -6, -9, -4, -2, 1], []]",,{2},{2}
471557.a.471557.1,"[[-2, -5, -3], [0, 0, 0, 1]]",,{},{}
471576.a.943152.1,"[[-8, 14, 2, -9, -1, 1], [0, 0, 1]]",,{2},{2}
471600.a.943200.1,"[[-1, 1, 0, -6, 8, -4, -1], [1, 1]]",,{2},{2}
471607.a.471607.1,"[[-16, 2, 16, -3, -5, 1], [1, 0, 0, 1]]",,{},{}
471608.a.943216.1,"[[0, -1, 0, -2, -2, 1], [1, 0, 1]]",,{2},{}
471638.a.943276.1,"[[41, 39, -7, -12, 0, 1], [0, 1]]",,{2},{2}
471641.a.471641.1,"[[0, 0, 2, 0, -3, 1], [1, 1]]",,{2},{}
471677.a.471677.1,"[[0, 2, 1, 3, 0, 1], [1]]",,{2},{}
471748.a.943496.1,"[[0, 2, 7, 2, -10, 1], [1, 1, 0, 1]]",,{},{}
471755.a.471755.1,"[[-4, -3, 3, 0, -2], [1, 1, 0, 1]]",,{},{}
471769.a.471769.1,"[[0, 1, 2, -6, 1, 1], [1, 0, 0, 1]]",,{2},{}
471825.a.471825.1,"[[-2, -2, -2, 0, 0, 0, -1], [1, 0, 0, 1]]",,{2},{2}
471848.a.943696.1,"[[1, -2, 2, -1, -1, 1], [1, 0, 1]]",,{2},{}
471856.a.471856.1,"[[-1, 10, -33, 32, 12, 1], [0, 0, 1]]",,{2},{2}
471858.a.471858.1,"[[-1, 0, 1, 0, 0, 1], [1, 0, 0, 1]]",,{},{}
471859.a.471859.1,"[[0, -1, -3, -7, 22, -9, 1], [0, 1]]",,{2},{}
471870.a.471870.1,"[[-1, -1, 4, 2, -5], [0, 1, 1, 1]]",,{2},{2}
471900.a.943800.1,"[[-1, -3, 20, 7, -56, -31, 1], [1, 0, 0, 1]]",,"{2, 3}",{2}
471912.a.943824.1,"[[-3, -12, -14, 0, 7, 2], [0, 1]]",,{2},{}
471926.a.471926.1,"[[-2, 6, -5, 0, 3, -3, 1], [0, 1]]",,{},{}
471954.a.471954.1,"[[-1, -3, -4, -3, -1, 1], [1, 0, 0, 1]]",,{},{}
471956.a.943912.1,"[[-1, 1, 2, 0, 1, 1], [0, 1, 1]]",,{2},{2}
471958.a.471958.1,"[[34, 60, 26, -3, -1, 1], [0, 1, 1]]",,{2},{}
471968.a.943936.1,"[[0, 0, -1, 1, 2, 2], [1]]",,{2},{}
471977.a.471977.1,"[[-1, -3, 0, 3, -5, 2, -1], [1, 1, 1]]",,{2},{}
472048.a.472048.1,"[[-2, 6, -3, -4, 2, 1], [0, 0, 1]]",,{2},{}
472071.a.472071.1,"[[7, 0, -5, 2, 0, -1], [1, 1, 0, 1]]",,{},{}
472123.a.472123.1,"[[-1, -3, -1, 0, -5, 1], [1, 1]]",,{2},{}
472152.a.944304.1,"[[0, 1, 2, -1, -4, 2], [0, 1]]",,{2},{2}
472160.a.944320.1,"[[-13, 0, 7, 1, 0, 1], [0, 1, 0, 1]]",,{2},{}
472174.a.472174.1,"[[-2, 3, -3, 3, -1, 1], [0, 1, 1]]",,{2},{}
472181.a.472181.1,"[[6, -13, 9, 0, -3, 1], [0, 0, 1]]",,{2},{}
472190.a.944380.1,"[[2, -7, 4, 3, -1, -1, -1], [1, 0, 0, 1]]",,{2},{2}
472256.a.472256.1,"[[2, -4, 3, 1, -2], [0, 0, 1, 1]]",,{},{}
472272.a.472272.1,"[[-2, 2, 2, -3, -1, 1], [0, 0, 1]]",,{2},{}
472289.a.472289.1,"[[-1, -3, -1, 1, -3, 1], [1, 1]]",,{2},{}
472311.a.472311.1,"[[33, 38, 5, -7, -3], [1, 1, 0, 1]]",,{2},{}
472327.a.472327.1,"[[-57, -7, 26, 0, -5], [1, 1, 0, 1]]",,{},{}
472337.a.472337.1,"[[1, -6, 1, 2, 3, 1], [1, 0, 0, 1]]",,"{2, 3}",{3}
472342.a.472342.1,"[[5, 1, 4, 2, 1], [0, 0, 1, 1]]",,{},{}
472393.a.472393.1,"[[-28, -2, 41, -19, -2, 1], [1, 0, 0, 1]]",,{},{}
472400.a.472400.1,"[[2, -6, 8, -4, 0, 0, 1], [0, 0, 1]]",,"{2, 3}",{}
472403.a.472403.1,"[[9, 14, 0, -8, -3], [1, 0, 1, 1]]",,{},{}
472409.a.472409.1,"[[1, 1, -4, 0, 4, -4, 1], [1, 1, 0, 1]]",,{2},{}
472414.a.944828.1,"[[1, 1, -2, 1, -1], [1, 0, 0, 1]]",,{},{}
472419.a.472419.1,"[[0, 0, -1, 2, 1, -1], [1, 1, 1]]",,{2},{}
472419.b.472419.1,"[[43, -71, 27, 7, -5], [1, 0, 0, 1]]",,{},{}
472429.a.472429.1,"[[-2, -1, 1, -2, 0, 1], [0, 0, 0, 1]]",,{},{}
472448.a.944896.1,"[[1, -1, -1, -2, 0, 1], [0, 1, 0, 1]]",,{},{}
472459.a.472459.1,"[[-1, 2, -3, 2, -1, 1], [0, 1, 1]]",,{2},{}
472463.a.472463.1,"[[0, 0, 1, 2, -2], [1, 1, 0, 1]]",,{},{}
472475.a.472475.1,"[[0, -1, 4, -2, -1, 1], [0, 1]]",,{2},{2}
472510.a.945020.1,"[[1, -1, 3, 0, 1, 2], [0, 1, 0, 1]]",,{},{}
472555.a.472555.1,"[[1, 1, -5, -3, 5, 0, -1], [1, 1, 1]]",,{2},{2}
472562.a.945124.1,"[[5, 11, 0, -8, 0, 1], [0, 1]]",,{2},{}
472582.a.945164.1,"[[63, 53, 66, 30, 18, 4, 1], [1, 0, 0, 1]]",,{},{}
472586.a.945172.1,"[[3, 15, 16, 0, -5, -1], [1, 0, 0, 1]]",,{2},{}
472602.a.472602.1,"[[-3, -6, -8, -5, -1, 1], [1, 0, 0, 1]]",,{2},{2}
472618.a.945236.1,"[[1, 9, 14, 0, -6, 1], [0, 1, 1]]",,{2},{}
472693.a.472693.1,"[[0, 2, 0, 0, -2, 1], [1]]",,{2},{}
472739.a.472739.1,"[[-17, -25, -13, 0, 3, 1], [1, 1, 1]]",,{2},{}
472820.a.945640.1,"[[155, -171, 80, 9, -14, 3, 1], [1, 1, 0, 1]]",,{},{}
472832.a.945664.1,"[[14, 16, 0, -6, -2], [0, 0, 1, 1]]",,"{2, 3}",{3}
472889.a.472889.1,"[[0, 1, 0, 2, 1], [1, 0, 0, 1]]",,{},{}
472916.a.472916.1,"[[-2, 0, -2, 0, 2, -1, -1], [0, 1, 1]]",,{},{}
472928.a.945856.1,"[[0, 1, 0, -1, 4, 2], [1]]",,{2},{}
472935.a.472935.1,"[[1, 2, 8, 9, 14, 8, 6], [1, 1, 0, 1]]",,{},{}
472947.a.472947.1,"[[1, 2, 4, 2, 3, 1, 1], [1, 0, 0, 1]]",,{2},{2}
472966.a.472966.1,"[[-3, -1, 3, 1, -2], [1, 0, 0, 1]]",,{},{}
473012.a.473012.1,"[[-1, 0, 2, 1, -1, -1], [1, 1, 1]]",,{2},{}
473029.a.473029.1,"[[2, -3, 2, 1, -3, 1], [0, 0, 0, 1]]",,{},{}
473085.a.473085.1,"[[1, 2, -3, 0, 0, -1], [1, 1, 1, 1]]",,{},{}
473098.a.946196.1,"[[-10, 23, -1, -15, -3, 1], [1, 0, 0, 1]]",,{2},{}
473124.a.473124.1,"[[1, 4, -26, 35, -18, 5], [1, 0, 0, 1]]",,{},{}
473143.a.473143.1,"[[-1, 0, -1, 0, -1, -1], [1, 1]]",,{2},{}
473146.a.473146.1,"[[-9, -5, 30, 27, -6, -5, 1], [0, 1]]",,{2},{2}
473180.a.946360.1,"[[-2, 0, 4, 0, -2, -1], [0, 1, 1]]",,{2},{2}
473198.a.473198.1,"[[-1, -1, 0, -1, 0, 1], [0, 1]]",,{2},{}
473204.a.946408.1,"[[-2, 3, -4, 2, -1], [1, 0, 1, 1]]",,{},{}
473228.a.946456.1,"[[0, 1, 0, -7, 4], [1, 1, 0, 1]]",,{},{}
473355.a.473355.1,"[[0, 1, 7, 8, 4, 1], [0, 1]]",,{2},{2}
473361.a.473361.1,"[[1, 1, 1, 2], [0, 0, 0, 1]]",,{},{}
473379.a.473379.1,"[[5, 3, -10, -1, 5, 0, -1], [0, 0, 0, 1]]",,{},{}
473381.a.473381.1,"[[-2, 1, -5, 2, -3, 1], [1, 1, 1]]",,{2},{}
473389.a.473389.1,"[[-1, -2, -1, 1, 1, 1], [0, 1]]",,{2},{}
473399.a.473399.1,"[[0, -1, 0, 0, -4, 2, 1], [1, 1, 1]]",,{},{}
473416.a.946832.1,"[[4, -17, 19, 0, -6, -2, 1], [1]]",,{},{}
473419.a.473419.1,"[[2, 4, 1, -3, 0, 1], [1, 0, 0, 1]]",,{},{}
473443.a.473443.1,"[[0, -2, 2, 0, -1, 1], [1, 0, 1]]",,{2},{}
473472.a.946944.1,"[[-3, 6, 3, -5, -1, 1], [0, 0, 1]]",,{2},{2}
473483.a.473483.1,"[[1, 0, 0, 0, 2, -3, 1], [0, 1]]",,{},{}
473536.a.947072.1,"[[4, 47, 166, 157, -103, 18, -1], [1]]",,{2},{}
473539.a.473539.1,"[[-1, 0, 4, -1, -6, 1, 2], [1, 1]]",,{2},{}
473629.a.473629.1,"[[-1, -1, -2, -1, 1, 1], [1]]",,{2},{}
473644.a.947288.1,"[[0, 2, 8, 10, 6], [1, 1, 0, 1]]",,{},{}
473674.a.947348.1,"[[0, 2, -8, 10, 7, 1], [0, 1]]",,{2},{2}
473683.a.473683.1,"[[-1, -1, 2, 0, -2], [0, 0, 0, 1]]",,{},{}
473683.b.473683.1,"[[-2, 0, 3, 0, -1, 1], [1, 0, 1]]",,{2},{2}
473688.a.947376.1,"[[-1, 0, -4, 4, 3, -4, 1], [1]]",,{},{}
473696.a.947392.1,"[[-1, -4, -3, -1, -1], [0, 0, 0, 1]]",,{},{}
473749.a.473749.1,"[[-5, -40, -69, 51, -36, 9, -2], [1, 1, 1]]",,{},{}
473763.a.473763.1,"[[24, 21, 23, 10, 5, 1], [0, 0, 0, 1]]",,{},{}
473831.a.473831.1,"[[3, 2, 3, 1, 1], [1, 0, 1, 1]]",,{},{}
473845.a.473845.1,"[[0, 0, 3, 1, -3], [1, 1, 0, 1]]",,{},{}
473856.a.947712.1,"[[-2, 1, 6, -3, -5, 2], [1]]",,{2},{2}
473856.b.947712.1,"[[7, -20, 0, 39, -29, 2], [1]]",,{2},{2}
473866.a.947732.1,"[[-1, 2, -5, 4, -1, -1, 1], [1, 1]]",,{2},{}
473875.a.473875.1,"[[0, 1, 7, -9, 1, 1], [0, 1]]",,{2},{2}
473879.a.473879.1,"[[-2, 0, 9, 0, -15, -4, 4], [1, 1, 0, 1]]",,{2},{}
473894.a.473894.1,"[[0, -1, -1, 0, 3, 1], [0, 1, 1]]",,{2},{2}
473911.a.473911.1,"[[-1, -1, 3, 4, 1], [1, 0, 0, 1]]",,{2},{}
473952.a.473952.1,"[[2, -4, -1, 1, 2, 1], [0, 1, 0, 1]]",,{},{}
473957.a.473957.1,"[[-1, -4, -4, -2], [0, 1, 1, 1]]",,{},{}
473960.a.947920.1,"[[7, -36, -20, 89, -8, -58, 24], [0, 1]]",,{2},{2}
473971.a.473971.1,"[[0, 2, -2, 1, -1], [1, 0, 0, 1]]",,{},{}
474016.a.948032.1,"[[0, 1, 3, -8, 8, -4, 1], [0, 1]]",,{2},{}
474083.a.474083.1,"[[4, -1, 3, -1, 0, 1], [0, 0, 0, 1]]",,{},{}
474145.a.474145.1,"[[-1, 9, -5, -5, 0, 1], [1, 1, 0, 1]]",,{},{}
474176.a.474176.1,"[[-2, 1, -4, -3, -5, -2, -1], [0, 1]]",,{},{}
474179.a.474179.1,"[[-50, 80, -7, -22, 0, 2], [1, 1, 0, 1]]",,{},{}
474186.a.948372.1,"[[3, -3, -2, 0, 1], [0, 0, 1, 1]]",,{2},{}
474203.a.474203.1,"[[1, 4, 6, -1, -3], [0, 1, 0, 1]]",,{},{}
474270.a.948540.1,"[[-1, 7, -24, 36, -15, 1], [1, 0, 0, 1]]",,{2},{}
474272.a.948544.1,"[[-1, 2, -6, 7, -8, 2], [1]]",,{2},{}
474287.a.474287.1,"[[-1, 0, -3, 1, -3, 1], [1, 1, 1]]",,{2},{}
474304.a.474304.1,"[[0, -1, 0, 2, -5, 1], [1, 0, 1]]",,{2},{}
474322.a.948644.1,"[[-10, 81, -229, 218, -13, 2], [1, 1, 1]]",,{2},{2}
474358.a.474358.1,"[[0, 0, -1, 1, 5, 1], [1, 1]]",,{2},{}
474368.a.948736.1,"[[-14, 16, 2, -4, 0, -2, 1], [0, 0, 0, 1]]",,{2},{2}
474432.a.474432.1,"[[3, 10, 1, -13, 3, 1], [0, 0, 1]]",,{2},{}
474436.a.948872.1,"[[2, -4, 1, -1], [1, 0, 1, 1]]",,{2},{}
474473.a.474473.1,"[[0, -2, 4, 2, 1, 1], [1, 0, 0, 1]]",,{},{}
474493.a.474493.1,"[[0, -1, 3, 0, 2], [0, 1, 0, 1]]",,{2},{}
474527.a.474527.1,"[[-1, 0, 1, 1, -1, -1], [1, 1, 1]]",,{2},{}
474537.a.474537.1,"[[5, 6, -4, 0, 4, -2], [1, 0, 0, 1]]",,{2},{2}
474560.a.949120.1,"[[-5, -12, -16, -11, -4], [0, 0, 0, 1]]",,{3},{}
474565.a.474565.1,"[[-9, 35, -42, 8, 8, 1], [1]]",,{2},{}
474583.a.474583.1,"[[-7, 2, 10, 0, -4, -1], [0, 1, 1]]",,{2},{}
474613.a.474613.1,"[[0, 4, 15, -8, -2, 1], [1]]",,{2},{}
474629.a.474629.1,"[[17, 33, 16, -4, -4], [0, 0, 0, 1]]",,{},{}
474660.a.949320.1,"[[1, 3, 5, 4, 1, 0, -1], [1, 1, 0, 1]]",,{},{}
474689.a.474689.1,"[[0, -1, 1, 1, -1, 1], [1, 1, 1]]",,{2},{}
474714.a.474714.1,"[[0, 4, 4, -7, 0, 1], [1, 1]]",,{2},{}
474752.a.474752.1,"[[0, 1, 2, 3], [1, 1, 1, 1]]",,{},{}
474770.a.949540.1,"[[-3, 1, 4, 6, 3, 1], [0, 1]]",,{2},{}
474771.a.474771.1,"[[-1, -3, -6, -4, 1, 3], [1, 0, 1, 1]]",,{},{}
474779.a.474779.1,"[[0, -1, -4, -2, 2], [0, 1, 0, 1]]",,{2},{}
474782.a.949564.1,"[[1, -3, 1, 1, 1, 1], [0, 1]]",,{2},{}
474917.a.474917.1,"[[-3, 5, 1, -4, 0, 1], [1]]",,{2},{}
474944.a.949888.1,"[[-1, 2, 1, -1, -2, 1], [0, 0, 0, 1]]",,{},{}
474957.a.474957.1,"[[-1, 0, -2, 2, -2, 1], [1, 0, 1]]",,{2},{}
474999.a.474999.1,"[[0, 0, 0, -3, 2, 0, -1], [1, 1, 0, 1]]",,{},{}
475003.a.475003.1,"[[5, 37, 96, 98, 28, 1], [0, 0, 1]]",,{2},{}
475003.b.475003.1,"[[0, 1, -2, -7, 0, 1], [1, 0, 1]]",,{2},{}
475003.c.475003.1,"[[6, 13, 11, -6, -3, 1], [0, 0, 1]]",,{2},{}
475008.a.950016.1,"[[-3, -20, -44, -31, 2], [0, 0, 1, 1]]",,{2},{2}
475011.a.475011.1,"[[0, -1, 1, -3, 1, 1], [0, 1]]",,{2},{2}
475029.a.475029.1,"[[0, 1, 5, 7, 0, 1], [0, 1]]",,{2},{2}
475029.b.475029.1,"[[-1, 4, -4, 5, -2, 1], [1]]",,{2},{}
475031.a.475031.1,"[[0, -1, 5, 0, -2], [1, 0, 0, 1]]",,{},{}
475037.a.475037.1,"[[0, 2, 1, -13, 4, 1], [1]]",,{2},{}
475075.a.475075.1,"[[1, 0, -2, 4, -3, 1], [0, 1]]",,{2},{}
475075.b.475075.1,"[[1, -5, 5, 3, -6, 1], [1]]",,{2},{}
475094.a.475094.1,"[[3, -5, 0, 1, -1], [0, 1, 1, 1]]",,{},{}
